requested_joint_distance_xz_m,actual_joint_distance_xz_m,equivalent_com_distance_m,wheel_to_equivalent_com_z_m,equivalent_inertia_yy_kg_m2,total_leg_mass_kg,base_link_left_rear1_link_joint_rad,left_rear1_link_left_rear2_link_joint_rad,wheel_joint_x_m,wheel_joint_y_m,wheel_joint_z_m,com_x_m,com_y_m,com_z_m,inertia_axis_x_m,inertia_axis_y_m,inertia_axis_z_m,target_direction_x,target_direction_z
0.1,0.1,0.0928394898553,0.0928394898553,0.010407391027,0.882977067432,0.617897641674,-0.708678416072,0.0017620758922,0.201499027038,-0.152984474238,-0.0548645912184,0.174815090904,-0.0601449843822,0,0.185,-0.053,0.017620758922,-0.999844742375
0.15,0.15,0.122450319772,0.122450319772,0.0117360869718,0.882977067432,0.351431281481,-0.469482716278,0.0026431138383,0.201499138561,-0.202976711356,-0.0557416850094,0.174815203624,-0.0805263915843,0,0.185,-0.053,0.017620758922,-0.999844742375
0.2,0.2,0.155990881502,0.155990881502,0.0136045189047,0.882977067432,0.156499310415,-0.22768153232,0.00352415178439,0.201499354795,-0.252968948475,-0.0539305712503,0.174815291424,-0.0969780669728,0,0.185,-0.053,0.017620758922,-0.999844742375
0.25,0.25,0.191101978756,0.191101978756,0.0160132247879,0.882977067432,-0.0168780086644,0.0259596439875,0.00440518973049,0.20149968825,-0.302961185594,-0.0506391487697,0.174815376697,-0.111859206838,0,0.185,-0.053,0.017620758922,-0.999844742375
0.3,0.3,0.226996143429,0.226996143429,0.0189632499851,0.882977067432,-0.187813529105,0.300647038433,0.00528622767659,0.201500163219,-0.352953422713,-0.0459520410574,0.174815468021,-0.125957279284,0,0.185,-0.053,0.017620758922,-0.999844742375
0.35,0.35,0.263334627301,0.263334627301,0.0224563389921,0.882977067432,-0.370324759352,0.611427135605,0.00616726562269,0.201500820242,-0.402945659831,-0.0395298021754,0.174815571164,-0.139611032531,0,0.185,-0.053,0.017620758922,-0.999844742375
0.4,0.4,0.29994519064,0.29994519064,0.0264960510644,0.882977067432,-0.586005386872,0.992949310671,0.00704830356879,0.20150174203,-0.45293789695,-0.0303493040448,0.174815693028,-0.15299270631,0,0.185,-0.053,0.017620758922,-0.999844742375
